Complaint,OffenseDescription,Description,Attempted,CategoryCode,Borough,Location,PremiseType
452409879,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
972139146,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
137226838,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,INSIDE,SMALL MERCHANT
348671940,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
460455257,ROBBERY,ROBBERY HOME INVASION,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
854783568,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
982692805,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
530762072,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
851674372,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CONSTRUCTION SITE
600961255,FORGERY,FORGERY ETC. UNCLASSIFIED-FELO,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
571922859,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
507754202,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
854885112,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE
762236600,GRAND LARCENY,LARCENY GRAND FROM PERSON PURS,COMPLETED,FELONY,BRONX,,STREET
260458834,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET
981502148,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET
425288877,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
963523690,MISCELLANEOUS PENAL LAW,MARIJUANA  POSSESSION,COMPLETED,VIOLATION,MANHATTAN,,HIGHWAY/PARKWAY
394432852,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
980591620,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
753370663,PETIT LARCENY,LARCENY PETIT OF LICENSE PLATE,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
254714030,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
557764759,GRAND LARCENY,LARCENY GRAND FROM RETAIL STORE  UNATTENDED,COMPLETED,FELONY,BRONX,INSIDE,GROCERY/BODEGA
986435535,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BRONX,,GROCERY/BODEGA
467203481,PETIT LARCENY,LARCENY PETIT OF VEHICLE ACCES,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET
769457715,VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,BRONX,,STREET
889496443,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,STREET
265023856,DANGEROUS WEAPONS,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,FRONT OF,STREET
431811845,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
742021622,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
995515637,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
393795459,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE-HOUSE
466746400,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
368057506,CRIMINAL MISCHIEF & RELATED OF,MISCHIEF  CRIMINAL 4  OF MOTOR,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
447238535,ARSON,ARSON 2 3 4,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
964619131,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,COMMERCIAL BUILDING
806304419,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,OTHER
657450223,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BRONX,INSIDE,GROCERY/BODEGA
341140431,FORGERY,FORGERY ETC. UNCLASSIFIED-FELO,COMPLETED,FELONY,MANHATTAN,,TAXI (LIVERY LICENSED)
711263791,GRAND LARCENY,LARCENY GRAND BY OPEN/COMPROMISE CELL PHONE ACCT,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE
184744868,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,BRONX,INSIDE,DRUG STORE
520682891,PETIT LARCENY,LARCENY PETIT OF VEHICLE ACCES,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
704309775,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
358240586,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,BRONX,INSIDE,COMMERCIAL BUILDING
610371462,OFFENSES AGAINST PUBLIC ADMINI,CONTEMPT CRIMINAL,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE
844266987,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
691252285,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE
929715442,PETIT LARCENY,LARCENY PETIT FROM AUTO,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
106511949,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
225356707,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
118886530,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE
486332581,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
306023498,DANGEROUS DRUGS,CONTROLLED SUBSTANCE  SALE 5,COMPLETED,FELONY,BRONX,,STREET
358055076,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,MANHATTAN,,STREET
190626661,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,BRONX,FRONT OF,STREET
194506254,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET
803060742,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE
